"position_id","tax_src_id","tax_dest_id"
"fp_irpf19a","account_tax_template_p_priva4_sc","account_tax_template_p_irpf19a"

"fp_irpf195a","account_tax_template_p_priva21_bc","account_tax_template_p_priva21_bc"
"fp_irpf195a","account_tax_template_p_priva21_bc","account_tax_template_p_irpf195a"
"fp_irpf195a","account_tax_template_p_priva21_sc","account_tax_template_p_priva21_sc"
"fp_irpf195a","account_tax_template_p_priva21_sc","account_tax_template_p_irpf195a"
"fp_irpf195a","account_tax_template_p_priva10_bc","account_tax_template_p_priva10_bc"
"fp_irpf195a","account_tax_template_p_priva10_bc","account_tax_template_p_irpf195a"
"fp_irpf195a","account_tax_template_p_priva10_sc","account_tax_template_p_priva10_sc"
"fp_irpf195a","account_tax_template_p_priva10_sc","account_tax_template_p_irpf195a"
"fp_irpf195a","account_tax_template_p_priva4_bc","account_tax_template_p_priva4_bc"
"fp_irpf195a","account_tax_template_p_priva4_bc","account_tax_template_p_irpf195a"
"fp_irpf195a","account_tax_template_p_priva4_sc","account_tax_template_p_priva4_sc"
"fp_irpf195a","account_tax_template_p_priva4_sc","account_tax_template_p_irpf195a"

"fp_irpf20a","account_tax_template_p_priva21_bc","account_tax_template_p_priva21_bc"
"fp_irpf20a","account_tax_template_p_priva21_bc","account_tax_template_p_irpf20a"
"fp_irpf20a","account_tax_template_p_priva21_sc","account_tax_template_p_priva21_sc"
"fp_irpf20a","account_tax_template_p_priva21_sc","account_tax_template_p_irpf20a"
"fp_irpf20a","account_tax_template_p_priva10_bc","account_tax_template_p_priva10_bc"
"fp_irpf20a","account_tax_template_p_priva10_bc","account_tax_template_p_irpf20a"
"fp_irpf20a","account_tax_template_p_priva10_sc","account_tax_template_p_priva10_sc"
"fp_irpf20a","account_tax_template_p_priva10_sc","account_tax_template_p_irpf20a"
"fp_irpf20a","account_tax_template_p_priva4_bc","account_tax_template_p_priva4_bc"
"fp_irpf20a","account_tax_template_p_priva4_bc","account_tax_template_p_irpf20a"
"fp_irpf20a","account_tax_template_p_priva4_sc","account_tax_template_p_priva4_sc"
"fp_irpf20a","account_tax_template_p_priva4_sc","account_tax_template_p_irpf20a"

"fp_irpf21a","account_tax_template_p_priva21_bc","account_tax_template_p_irpf21a"
"fp_irpf21a","account_tax_template_p_priva21_sc","account_tax_template_p_priva21_sc"
"fp_irpf21a","account_tax_template_p_priva21_sc","account_tax_template_p_irpf21a"
"fp_irpf21a","account_tax_template_p_priva10_bc","account_tax_template_p_priva10_bc"
"fp_irpf21a","account_tax_template_p_priva10_bc","account_tax_template_p_irpf21a"
"fp_irpf21a","account_tax_template_p_priva10_sc","account_tax_template_p_priva10_sc"
"fp_irpf21a","account_tax_template_p_priva10_sc","account_tax_template_p_irpf21a"
"fp_irpf21a","account_tax_template_p_priva4_bc","account_tax_template_p_priva4_bc"
"fp_irpf21a","account_tax_template_p_priva4_bc","account_tax_template_p_irpf21a"
"fp_irpf21a","account_tax_template_p_priva4_sc","account_tax_template_p_priva4_sc"
"fp_irpf21a","account_tax_template_p_priva4_sc","account_tax_template_p_irpf21a"

"fp_irpf21","account_tax_template_p_priva21_bc","account_tax_template_p_priva21_bc"
"fp_irpf21","account_tax_template_p_priva21_bc","account_tax_template_p_irpf21p"
"fp_irpf21","account_tax_template_p_priva21_sc","account_tax_template_p_priva21_sc"
"fp_irpf21","account_tax_template_p_priva21_sc","account_tax_template_p_irpf21p"
"fp_irpf21","account_tax_template_p_priva10_bc","account_tax_template_p_priva10_bc"
"fp_irpf21","account_tax_template_p_priva10_bc","account_tax_template_p_irpf21p"
"fp_irpf21","account_tax_template_p_priva10_sc","account_tax_template_p_priva10_sc"
"fp_irpf21","account_tax_template_p_priva10_sc","account_tax_template_p_irpf21p"
"fp_irpf21","account_tax_template_p_priva4_bc","account_tax_template_p_priva4_bc"
"fp_irpf21","account_tax_template_p_priva4_bc","account_tax_template_p_irpf21p"
"fp_irpf21","account_tax_template_p_priva4_sc","account_tax_template_p_priva4_sc"
"fp_irpf21","account_tax_template_p_priva4_sc","account_tax_template_p_irpf21p"

"fp_irpf20","account_tax_template_p_priva21_bc","account_tax_template_p_priva21_bc"
"fp_irpf20","account_tax_template_p_priva21_bc","account_tax_template_p_irpf20"
"fp_irpf20","account_tax_template_p_priva21_sc","account_tax_template_p_priva21_sc"
"fp_irpf20","account_tax_template_p_priva21_sc","account_tax_template_p_irpf20"
"fp_irpf20","account_tax_template_p_priva10_bc","account_tax_template_p_priva10_bc"
"fp_irpf20","account_tax_template_p_priva10_bc","account_tax_template_p_irpf20"
"fp_irpf20","account_tax_template_p_priva10_sc","account_tax_template_p_priva10_sc"
"fp_irpf20","account_tax_template_p_priva10_sc","account_tax_template_p_irpf20"
"fp_irpf20","account_tax_template_p_priva4_bc","account_tax_template_p_priva4_bc"
"fp_irpf20","account_tax_template_p_priva4_bc","account_tax_template_p_irpf20"
"fp_irpf20","account_tax_template_p_priva4_sc","account_tax_template_p_priva4_sc"
"fp_irpf20","account_tax_template_p_priva4_sc","account_tax_template_p_irpf20"

"fp_irpf24","account_tax_template_p_priva21_bc","account_tax_template_p_priva21_bc"
"fp_irpf24","account_tax_template_p_priva21_bc","account_tax_template_p_irpf24"
"fp_irpf24","account_tax_template_p_priva21_sc","account_tax_template_p_priva21_sc"
"fp_irpf24","account_tax_template_p_priva21_sc","account_tax_template_p_irpf24"
"fp_irpf24","account_tax_template_p_priva10_bc","account_tax_template_p_priva10_bc"
"fp_irpf24","account_tax_template_p_priva10_bc","account_tax_template_p_irpf24"
"fp_irpf24","account_tax_template_p_priva10_sc","account_tax_template_p_priva10_sc"
"fp_irpf24","account_tax_template_p_priva10_sc","account_tax_template_p_irpf24"
"fp_irpf24","account_tax_template_p_priva4_bc","account_tax_template_p_priva4_bc"
"fp_irpf24","account_tax_template_p_priva4_bc","account_tax_template_p_irpf24"
"fp_irpf24","account_tax_template_p_priva4_sc","account_tax_template_p_priva4_sc"
"fp_irpf24","account_tax_template_p_priva4_sc","account_tax_template_p_irpf24"

"fp_irpf15","account_tax_template_p_priva21_bc","account_tax_template_p_priva21_bc"
"fp_irpf15","account_tax_template_p_priva21_bc","account_tax_template_p_irpf15"
"fp_irpf15","account_tax_template_p_priva21_sc","account_tax_template_p_priva21_sc"
"fp_irpf15","account_tax_template_p_priva21_sc","account_tax_template_p_irpf15"
"fp_irpf15","account_tax_template_p_priva10_bc","account_tax_template_p_priva10_bc"
"fp_irpf15","account_tax_template_p_priva10_bc","account_tax_template_p_irpf15"
"fp_irpf15","account_tax_template_p_priva10_sc","account_tax_template_p_priva10_sc"
"fp_irpf15","account_tax_template_p_priva10_sc","account_tax_template_p_irpf15"
"fp_irpf15","account_tax_template_p_priva4_bc","account_tax_template_p_priva4_bc"
"fp_irpf15","account_tax_template_p_priva4_bc","account_tax_template_p_irpf15"
"fp_irpf15","account_tax_template_p_priva4_sc","account_tax_template_p_priva4_sc"
"fp_irpf15","account_tax_template_p_priva4_sc","account_tax_template_p_irpf15"

"fp_irpf18","account_tax_template_p_priva21_bc","account_tax_template_p_priva21_bc"
"fp_irpf18","account_tax_template_p_priva21_bc","account_tax_template_p_irpf18"
"fp_irpf18","account_tax_template_p_priva21_sc","account_tax_template_p_priva21_sc"
"fp_irpf18","account_tax_template_p_priva21_sc","account_tax_template_p_irpf18"
"fp_irpf18","account_tax_template_p_priva10_bc","account_tax_template_p_priva10_bc"
"fp_irpf18","account_tax_template_p_priva10_bc","account_tax_template_p_irpf18"
"fp_irpf18","account_tax_template_p_priva10_sc","account_tax_template_p_priva10_sc"
"fp_irpf18","account_tax_template_p_priva10_sc","account_tax_template_p_irpf18"
"fp_irpf18","account_tax_template_p_priva4_bc","account_tax_template_p_priva4_bc"
"fp_irpf18","account_tax_template_p_priva4_bc","account_tax_template_p_irpf18"
"fp_irpf18","account_tax_template_p_priva4_sc","account_tax_template_p_priva4_sc"
"fp_irpf18","account_tax_template_p_priva4_sc","account_tax_template_p_irpf18"

"fp_irpf19","account_tax_template_p_priva21_bc","account_tax_template_p_priva21_bc"
"fp_irpf19","account_tax_template_p_priva21_bc","account_tax_template_p_irpf19"
"fp_irpf19","account_tax_template_p_priva21_sc","account_tax_template_p_priva21_sc"
"fp_irpf19","account_tax_template_p_priva21_sc","account_tax_template_p_irpf19"
"fp_irpf19","account_tax_template_p_priva10_bc","account_tax_template_p_priva10_bc"
"fp_irpf19","account_tax_template_p_priva10_bc","account_tax_template_p_irpf19"
"fp_irpf19","account_tax_template_p_priva10_sc","account_tax_template_p_priva10_sc"
"fp_irpf19","account_tax_template_p_priva10_sc","account_tax_template_p_irpf19"
"fp_irpf19","account_tax_template_p_priva4_bc","account_tax_template_p_priva4_bc"
"fp_irpf19","account_tax_template_p_priva4_bc","account_tax_template_p_irpf19"
"fp_irpf19","account_tax_template_p_priva4_sc","account_tax_template_p_priva4_sc"
"fp_irpf19","account_tax_template_p_priva4_sc","account_tax_template_p_irpf19"

"fp_irpf9","account_tax_template_p_priva21_bc","account_tax_template_p_priva21_bc"
"fp_irpf9","account_tax_template_p_priva21_bc","account_tax_template_p_irpf9"
"fp_irpf9","account_tax_template_p_priva21_sc","account_tax_template_p_priva21_sc"
"fp_irpf9","account_tax_template_p_priva21_sc","account_tax_template_p_irpf9"
"fp_irpf9","account_tax_template_p_priva10_bc","account_tax_template_p_priva10_bc"
"fp_irpf9","account_tax_template_p_priva10_bc","account_tax_template_p_irpf9"
"fp_irpf9","account_tax_template_p_priva10_sc","account_tax_template_p_priva10_sc"
"fp_irpf9","account_tax_template_p_priva10_sc","account_tax_template_p_irpf9"
"fp_irpf9","account_tax_template_p_priva4_bc","account_tax_template_p_priva4_bc"
"fp_irpf9","account_tax_template_p_priva4_bc","account_tax_template_p_irpf9"
"fp_irpf9","account_tax_template_p_priva4_sc","account_tax_template_p_priva4_sc"
"fp_irpf9","account_tax_template_p_priva4_sc","account_tax_template_p_irpf9"
