"id","sequence","active","description","invoice_label","type_tax_use","name","name@es","description@es","description@ca","amount","amount_type","tax_group_id","analytic","l10n_es_type","l10n_es_exempt_reason","l10n_es_bien_inversion","tax_scope","include_base_amount","repartition_line_ids/repartition_type","repartition_line_ids/tag_ids","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/factor_percent","invoice_label@es","children_tax_ids","price_include_override","prorate"
"account_tax_template_p_priva5_sc","0","True","Prorated 5% VAT supported (current services)","","purchase",Prorated 5% S,Prorrata 5% S,"Prorrata 5% IVA soportado (servicios corrientes)",Prorrata del 5% de l'IVA suportat (serveis corrents),"5","percent","tax_group_iva_5","","sujeto","","","service","","base","+mod303[28]||+mod390[605]","invoice","","","","","","True"
"","","","","","","","","","","","","","","","","","","","tax","+mod303[29]||+mod390[606]","invoice","account_common_472","","","","",
"","","","","","","","","","","","","","","","","","","","tax","+mod303[28]||+mod390[606]","invoice","","","","","",
"","","","","","","","","","","","","","","","","","","","base","-mod303[40]||-mod390[605]","refund","","","","","",
"","","","","","","","","","","","","","","","","","","","tax","-mod303[41]||-mod390[606]","refund","account_common_472","","","","",
"","","","","","","","","","","","","","","","","","","","tax","-mod303[40]||-mod390[606]","refund","","","","","",
"account_tax_template_p_priva10_sc","0","True","Prorated 10% VAT supported (current services)","","purchase",Prorated 10% S,Prorrata 10% S,"Prorrata 10% IVA soportado (servicios corrientes)",Prorrata del 10% de l'IVA suportat (serveis corrents),"10","percent","tax_group_iva_10","","sujeto","","","service","","base","+mod303[28]||+mod390[605]","invoice","","","","","","True"
"","","","","","","","","","","","","","","","","","","","tax","+mod303[29]||+mod390[606]","invoice","account_common_472","","","","",
"","","","","","","","","","","","","","","","","","","","tax","+mod303[28]||+mod390[606]","invoice","","","","","",
"","","","","","","","","","","","","","","","","","","","base","-mod303[40]||-mod390[605]","refund","","","","","",
"","","","","","","","","","","","","","","","","","","","tax","-mod303[41]||-mod390[606]","refund","account_common_472","","","","",
"","","","","","","","","","","","","","","","","","","","tax","-mod303[40]||-mod390[606]","refund","","","","","",
"account_tax_template_p_priva21_sc","0","True","Prorated 21% VAT supported (current services)","","purchase",Prorated 21% S,Prorrata 21% S,"Prorrata 21% IVA soportado (servicios corrientes)",Prorrata del 21% de l'IVA suportat (serveis corrents),"21","percent","tax_group_iva_21","","sujeto","","","service","","base","+mod303[28]||+mod390[605]","invoice","","","","","","True"
"","","","","","","","","","","","","","","","","","","","tax","+mod303[29]||+mod390[606]","invoice","account_common_472","","","","",
"","","","","","","","","","","","","","","","","","","","tax","+mod303[28]||+mod390[606]","invoice","","","","","",
"","","","","","","","","","","","","","","","","","","","base","-mod303[40]||-mod390[605]","refund","","","","","",
"","","","","","","","","","","","","","","","","","","","tax","-mod303[41]||-mod390[606]","refund","account_common_472","","","","",
"","","","","","","","","","","","","","","","","","","","tax","-mod303[40]||-mod390[606]","refund","","","","","",
"account_tax_template_p_priva4_ic_bc","0","True","Prorated 4% VAT Supported Intra-community acquisition. Current goods","","purchase",Prorated 4% EU G,Prorrata IVA 4% UE B,"Prorrata IVA 4% Adquisición Intracomunitario. Bienes corrientes","Prorrata del 4% de l'IVA Inquisició Intracomunitari. Béns corrents","4","percent","tax_group_iva_4","","sujeto","","","consu","","base","+mod303[36]||+mod303[10]","invoice","","","","","","True"
"","","","","","","","","","","","","","","","","","","","tax","+mod303[37]","invoice","account_common_472","","","","",
"","","","","","","","","","","","","","","","","","","","tax","+mod303[36]","invoice","","","","","",
"","","","","","","","","","","","","","","","","","","","tax","-mod303[11]","invoice","account_common_477","-100","","","",
"","","","","","","","","","","","","","","","","","","","base","-mod303[40]||-mod303[14_purchase]","refund","","","","","",
"","","","","","","","","","","","","","","","","","","","tax","-mod303[41]","refund",account_common_472,"","","","",
"","","","","","","","","","","","","","","","","","","","tax","-mod303[40]||-mod303[14_purchase]","refund","","","","","",
"","","","","","","","","","","","","","","","","","","","tax","+mod303[15]",refund,"account_common_477","-100","","","",
"account_tax_template_p_priva10_ic_bc","0","True","Prorated 10% VAT Supported Intra-community acquisition. Current goods","","purchase",Prorated 10% EU G,Prorrata IVA 10% UE B,"Prorrata IVA 10% Adquisición Intracomunitario. Bienes corrientes","Prorrata del 10% de l'IVA Inquisició Intracomunitari. Béns corrents","10","percent","tax_group_iva_10","","sujeto","","","consu","","base","+mod303[36]||+mod303[10]","invoice","","","","","","True"
"","","","","","","","","","","","","","","","","","","","tax","+mod303[37]","invoice","account_common_472","","","","",
"","","","","","","","","","","","","","","","","","","","tax","+mod303[36]||+mod303[10]","invoice","","","","","",
"","","","","","","","","","","","","","","","","","","","tax","-mod303[11]","invoice","account_common_477","-100","","","",
"","","","","","","","","","","","","","","","","","","","base","-mod303[40]||-mod303[14_purchase]","refund","","","","","",
"","","","","","","","","","","","","","","","","","","","tax","-mod303[41]","refund",account_common_472,"","","","",
"","","","","","","","","","","","","","","","","","","","tax","-mod303[40]||-mod303[14_purchase]","refund","","","","","",
"","","","","","","","","","","","","","","","","","","","tax","+mod303[15]",refund,"account_common_477","-100","","","",
"account_tax_template_p_priva21_ic_bc","0","True","Prorated 21% VAT Supported Intra-community acquisition. Current goods","","purchase",Prorated 21% EU G,Prorrata IVA 21% UE B,"Prorrata IVA 21% Adquisición Intracomunitario. Bienes corrientes","Prorrata del 21% de l'IVA Inquisició Intracomunitari. Béns corrents","21","percent","tax_group_iva_21","","sujeto","","","consu","","base","+mod303[36]||+mod303[10]","invoice","","","","","","True"
"","","","","","","","","","","","","","","","","","","","tax","+mod303[37]","invoice","account_common_472","","","","",
"","","","","","","","","","","","","","","","","","","","tax","+mod303[36]||+mod303[10]","invoice","","","","","",
"","","","","","","","","","","","","","","","","","","","tax","-mod303[11]","invoice","account_common_477","-100","","","",
"","","","","","","","","","","","","","","","","","","","base","-mod303[40]||-mod303[14_purchase]","refund","","","","","",
"","","","","","","","","","","","","","","","","","","","tax","-mod303[41]","refund",account_common_472,"","","","",
"","","","","","","","","","","","","","","","","","","","tax","-mod303[40]||-mod303[14_purchase]","refund","","","","","",
"","","","","","","","","","","","","","","","","","","","tax","+mod303[15]",refund,"account_common_477","-100","","","",
"account_tax_template_p_priva4_ic_bi","0","True","Prorated 4% VAT Supported Intra-community acquisition. Investment goods","","purchase",Prorated 4% EU IG,Prorrata IVA 4% UE BI,"Prorrata IVA 4% Adquisición Intracomunitario. Bienes de inversión","Prorrata del 4% de l'IVA Inquisició Intracomunitari. Béns d'inversió","4","percent","tax_group_iva_4","","sujeto","","","consu","","base","+mod303[38]||+mod303[10]","invoice","","","","","","True"
"","","","","","","","","","","","","","","","","","","","tax","+mod303[39]","invoice","account_common_472","","","","",
"","","","","","","","","","","","","","","","","","","","tax","+mod303[38]||+mod303[10]","invoice","","","","","",
"","","","","","","","","","","","","","","","","","","","tax","-mod303[11]","invoice","account_common_477","-100","","","",
"","","","","","","","","","","","","","","","","","","","base","-mod303[40]||-mod303[14_purchase]","refund","","","","","",
"","","","","","","","","","","","","","","","","","","","tax","-mod303[41]","refund",account_common_472,"","","","",
"","","","","","","","","","","","","","","","","","","","tax","-mod303[40]||-mod303[14_purchase]","refund","","","","","",
"","","","","","","","","","","","","","","","","","","","tax","+mod303[15]",refund,"account_common_477","-100","","","",
"account_tax_template_p_priva10_ic_bi","0","True","Prorated 10% VAT Supported Intra-community acquisition. Investment goods","","purchase",Prorated 10% EU IG,Prorrata IVA 10% UE BI,"Prorrata IVA 10% Adquisición Intracomunitario. Bienes de inversión","Prorrata del 10% de l'IVA Inquisició Intracomunitari. Béns d'inversió","10","percent","tax_group_iva_10","","sujeto","","","consu","","base","+mod303[38]||+mod303[10]","invoice","","","","","","True"
"","","","","","","","","","","","","","","","","","","","tax","+mod303[39]","invoice","account_common_472","","","","",
"","","","","","","","","","","","","","","","","","","","tax","+mod303[38]||+mod303[10]","invoice","","","","","",
"","","","","","","","","","","","","","","","","","","","tax","-mod303[11]","invoice","account_common_477","-100","","","",
"","","","","","","","","","","","","","","","","","","","base","-mod303[40]||-mod303[14_purchase]","refund","","","","","",
"","","","","","","","","","","","","","","","","","","","tax","-mod303[41]","refund",account_common_472,"","","","",
"","","","","","","","","","","","","","","","","","","","tax","-mod303[40]||-mod303[14_purchase]","refund","","","","","",
"","","","","","","","","","","","","","","","","","","","tax","+mod303[15]",refund,"account_common_477","-100","","","",
"account_tax_template_p_priva21_ic_bi","0","True","Prorated 21% VAT Supported Intra-community acquisition. Investment goods","","purchase",Prorated 21% EU IG,Prorrata IVA 21% UE BI,"Prorrata IVA 21% Adquisición Intracomunitario. Bienes de inversión","Prorrata del 21% de l'IVA Inquisició Intracomunitari. Béns d'inversió","21","percent","tax_group_iva_21","","sujeto","","","consu","","base","+mod303[38]||+mod303[10]","invoice","","","","","","True"
"","","","","","","","","","","","","","","","","","","","tax","+mod303[39]","invoice","account_common_472","","","","",
"","","","","","","","","","","","","","","","","","","","tax","+mod303[38]||+mod303[10]","invoice","","","","","",
"","","","","","","","","","","","","","","","","","","","tax","-mod303[11]","invoice","account_common_477","-100","","","",
"","","","","","","","","","","","","","","","","","","","base","-mod303[40]||-mod303[14_purchase]","refund","","","","","",
"","","","","","","","","","","","","","","","","","","","tax","-mod303[41]","refund",account_common_472,"","","","",
"","","","","","","","","","","","","","","","","","","","tax","-mod303[40]||-mod303[14_purchase]","refund","","","","","",
"","","","","","","","","","","","","","","","","","","","tax","+mod303[15]",refund,"account_common_477","-100","","","",
"account_tax_template_p_priva4_sp_in","0","True","Prorated 4% VAT supported Intra-community acquisition of services","","purchase",Prorated 4% EU S,Prorrata IVA 4% UE S,"Prorrata IVA 4% Adquisición de servicios intracomunitarios","Prorrata IVA 4% Inquisicón de servicios intracomunitaris","4","percent","tax_group_iva_4","","sujeto","","","service","","base","+mod303[36]||+mod303[10]","invoice","","","","","","True"
"","","","","","","","","","","","","","","","","","","","tax","+mod303[37]","invoice","account_common_472","","","","",
"","","","","","","","","","","","","","","","","","","","tax","+mod303[36]||+mod303[10]","invoice","","","","","",
"","","","","","","","","","","","","","","","","","","","tax","-mod303[11]","invoice","account_common_477","-100","","","",
"","","","","","","","","","","","","","","","","","","","base","-mod303[40]||-mod303[14_purchase]","refund","","","","","",
"","","","","","","","","","","","","","","","","","","","tax","-mod303[41]","refund",account_common_472,"","","","",
"","","","","","","","","","","","","","","","","","","","tax","-mod303[40]||-mod303[14_purchase]","refund","","","","","",
"","","","","","","","","","","","","","","","","","","","tax","+mod303[15]",refund,"account_common_477","-100","","","",
"account_tax_template_p_priva10_sp_in","0","True","Prorated 10% VAT supported Intra-community acquisition of services","","purchase",Prorated 10% EU S,Prorrata IVA 10% UE S,"Prorrata IVA 10% Adquisición de servicios intracomunitarios","Prorrata IVA 10% Inquisicón de servicios intracomunitaris","10","percent","tax_group_iva_10","","sujeto","","","service","","base","+mod303[36]||+mod303[10]","invoice","","","","","","True"
"","","","","","","","","","","","","","","","","","","","tax","+mod303[37]","invoice","account_common_472","","","","",
"","","","","","","","","","","","","","","","","","","","tax","+mod303[36]||+mod303[10]","invoice","","","","","",
"","","","","","","","","","","","","","","","","","","","tax","-mod303[11]","invoice","account_common_477","-100","","","",
"","","","","","","","","","","","","","","","","","","","base","-mod303[40]||-mod303[14_purchase]","refund","","","","","",
"","","","","","","","","","","","","","","","","","","","tax","-mod303[41]","refund",account_common_472,"","","","",
"","","","","","","","","","","","","","","","","","","","tax","-mod303[40]||-mod303[14_purchase]","refund","","","","","",
"","","","","","","","","","","","","","","","","","","","tax","+mod303[15]",refund,"account_common_477","-100","","","",
"account_tax_template_p_priva21_sp_in","0","True","Prorated 21% VAT supported Intra-community acquisition of services","","purchase",Prorated 21% EU S,Prorrata IVA 21% UE S,"Prorrata IVA 21% Adquisición de servicios intracomunitarios","Prorrata IVA 21% Inquisicón de servicios intracomunitaris","21","percent","tax_group_iva_21","","sujeto","","","service","","base","+mod303[36]||+mod303[10]","invoice","","","","","","True"
"","","","","","","","","","","","","","","","","","","","tax","+mod303[37]","invoice","account_common_472","","","","",
"","","","","","","","","","","","","","","","","","","","tax","+mod303[36]||+mod303[10]","invoice","","","","","",
"","","","","","","","","","","","","","","","","","","","tax","-mod303[11]","invoice","account_common_477","-100","","","",
"","","","","","","","","","","","","","","","","","","","base","-mod303[40]||-mod303[14_purchase]","refund","","","","","",
"","","","","","","","","","","","","","","","","","","","tax","-mod303[41]","refund",account_common_472,"","","","",
"","","","","","","","","","","","","","","","","","","","tax","-mod303[40]||-mod303[14_purchase]","refund","","","","","",
"","","","","","","","","","","","","","","","","","","","tax","+mod303[15]",refund,"account_common_477","-100","","","",
"account_tax_template_p_priva4_ibc","0","True","Prorated 4% VAT supported Import of current goods","","purchase",Prorated 4% EX G,Prorrata IVA 4% EX B,"Prorrata IVA 4% Importaciones bienes corrientes","Importa IVA 4% Importacions de béns corrents","4","percent","tax_group_iva_4","","sujeto","","","consu","","base","+mod303[32]","invoice","","","","","","True"
"","","","","","","","","","","","","","","","","","","","tax","+mod303[33]","invoice","account_common_472","","","","",
"","","","","","","","","","","","","","","","","","","","tax","+mod303[32]","invoice","","","","","",
"","","","","","","","","","","","","","","","","","","","base","-mod303[40]","refund","","","","","",
"","","","","","","","","","","","","","","","","","","","tax","-mod303[41]","refund",account_common_472,"","","","",
"","","","","","","","","","","","","","","","","","","","tax","-mod303[40]","refund","","","","","",
"account_tax_template_p_priva10_ibc","0","True","Prorated 10% VAT supported Import of current goods","","purchase",Prorated 10% EX G,Prorrata IVA 10% EX B,"Prorrata IVA 10% Importaciones bienes corrientes","Importa IVA 10% Importacions de béns corrents","10","percent","tax_group_iva_10","","sujeto","","","consu","","base","+mod303[32]","invoice","","","","","","True"
"","","","","","","","","","","","","","","","","","","","tax","+mod303[33]","invoice","account_common_472","","","","",
"","","","","","","","","","","","","","","","","","","","tax","+mod303[32]","invoice","","","","","",
"","","","","","","","","","","","","","","","","","","","base","-mod303[40]","refund","","","","","",
"","","","","","","","","","","","","","","","","","","","tax","-mod303[41]","refund",account_common_472,"","","","",
"","","","","","","","","","","","","","","","","","","","tax","-mod303[40]","refund","","","","","",
"account_tax_template_p_priva21_ibc","0","True","Prorated 21% VAT supported Import of current goods","","purchase",Prorated 21% EX G,Prorrata IVA 21% EX B,"Prorrata IVA 21% Importaciones bienes corrientes","Importa IVA 21% Importacions de béns corrents","21","percent","tax_group_iva_21","","sujeto","","","consu","","base","+mod303[32]","invoice","","","","","","True"
"","","","","","","","","","","","","","","","","","","","tax","+mod303[33]","invoice","account_common_472","","","","",
"","","","","","","","","","","","","","","","","","","","tax","+mod303[32]","invoice","","","","","",
"","","","","","","","","","","","","","","","","","","","base","-mod303[40]","refund","","","","","",
