id,account_xmlid_ids/id
l10n_es_aeat_mod303.aeat_mod303_2023_map_line_31,"l10n_es_aeat_mod303.common_472"
l10n_es_aeat_mod303.aeat_mod303_2023_map_line_33,"l10n_es_aeat_mod303.common_472"
l10n_es_aeat_mod303.aeat_mod303_2023_map_line_44,"l10n_es_aeat_mod303.common_472"
l10n_es_aeat_mod303.aeat_mod303_2024_10_map_line_31,"l10n_es_aeat_mod303.common_472"
l10n_es_aeat_mod303.aeat_mod303_2024_10_map_line_33,"l10n_es_aeat_mod303.common_472"
l10n_es_aeat_mod303.aeat_mod303_2024_10_map_line_44,"l10n_es_aeat_mod303.common_472"
