"id","tax_src_id","tax_dest_id"
"account_tax_template_p_priva4_bc_bi","account_tax_template_p_priva4_bc","account_tax_template_p_priva4_bi"
"account_tax_template_p_priva10_bc_bi","account_tax_template_p_priva10_bc","account_tax_template_p_priva10_bi"
"account_tax_template_p_priva21_bc_bi","account_tax_template_p_priva21_bc","account_tax_template_p_priva21_bi"
"account_tax_template_p_priva4_ic_bc_bi","account_tax_template_p_priva4_ic_bc","account_tax_template_p_priva4_ic_bi"
"account_tax_template_p_priva10_ic_bc_bi","account_tax_template_p_priva10_ic_bc","account_tax_template_p_priva10_ic_bi"
"account_tax_template_p_priva21_ic_bc_bi","account_tax_template_p_priva21_ic_bc","account_tax_template_p_priva21_ic_bi"
"account_tax_template_p_priva4_ibc_ibi","account_tax_template_p_priva4_ibc","account_tax_template_p_priva4_ibi"
"account_tax_template_p_priva10_ibc_ibi","account_tax_template_p_priva10_ibc","account_tax_template_p_priva10_ibi"
"account_tax_template_p_priva21_ibc_ibi","account_tax_template_p_priva21_ibc","account_tax_template_p_priva21_ibi"
